traces,algorithm,cache_size,hit_rate,dataset,rank
moodle-2012-11-26-1,lru,0.005,17.65,CloudCache,6.0
moodle-2012-11-26-1,lfu,0.005,14.47,CloudCache,7.0
webserver-2012-11-01-1,arc,0.005,35.94,CloudCache,1.0
webserver-2012-11-01-1,dlirs,0.005,35.78,CloudCache,1.0
webserver-2012-11-01-1,scanalecar,0.005,35.64,CloudCache,1.0
webserver-2012-11-01-1,lirs,0.005,35.08,CloudCache,1.0
webserver-2012-11-01-1,lecar,0.005,34.21,CloudCache,1.0
webserver-2012-11-01-1,lru,0.005,32.21,CloudCache,6.0
webserver-2012-11-01-1,lfu,0.005,0.18,CloudCache,7.0
webserver-2012-11-08-1,arc,0.005,34.09,CloudCache,1.0
webserver-2012-11-08-1,scanalecar,0.005,33.93,CloudCache,1.0
webserver-2012-11-08-1,dlirs,0.005,33.88,CloudCache,1.0
webserver-2012-11-08-1,lirs,0.005,32.91,CloudCache,1.0
webserver-2012-11-08-1,lecar,0.005,32.67,CloudCache,1.0
webserver-2012-11-08-1,lru,0.005,30.92,CloudCache,6.0
webserver-2012-11-08-1,lfu,0.005,0.14,CloudCache,7.0
webserver-2012-11-15-1,arc,0.005,32.55,CloudCache,1.0
webserver-2012-11-15-1,dlirs,0.005,32.48,CloudCache,1.0
webserver-2012-11-15-1,scanalecar,0.005,32.31,CloudCache,1.0
webserver-2012-11-15-1,lecar,0.005,31.06,CloudCache,1.0
webserver-2012-11-15-1,lirs,0.005,31.02,CloudCache,1.0
webserver-2012-11-15-1,lru,0.005,29.08,CloudCache,6.0
webserver-2012-11-15-1,lfu,0.005,16.78,CloudCache,7.0
webserver-2012-11-22-1,lecar,0.005,7.18,CloudCache,1.0
webserver-2012-11-22-1,scanalecar,0.005,7.01,CloudCache,1.0
webserver-2012-11-22-1,lirs,0.005,6.85,CloudCache,1.0
webserver-2012-11-22-1,dlirs,0.005,6.82,CloudCache,4.0
webserver-2012-11-22-1,lru,0.005,6.56,CloudCache,5.0
webserver-2012-11-22-1,arc,0.005,6.54,CloudCache,6.0
webserver-2012-11-22-1,lfu,0.005,5.43,CloudCache,7.0
webserver-2012-11-29-1,arc,0.005,34.11,CloudCache,1.0
